Control ID,Control Name,Syncfusion Control Name,Skill Name,Keywords
38,ChromelessWindow,ChromelessWindow,syncfusion-wpf-chromeless-window,"chromeless window, custom window, titlebar, frameless, modern window"
39,Docking,DockingManager,syncfusion-wpf-docking,"docking, dockable panels, layout, floating, resizable, panes, tabbed interface"
40,GridSplitter,GridSplitter,syncfusion-wpf-gridsplitter,"splitter, grid splitter, pane splitter, resizable separator, layout"
41,HubTile,HubTile,syncfusion-wpf-hub-tile,"hub tile, animated tile, live tile, flip tile, pulsing tile"
42,PulsingTile,HubTile,syncfusion-wpf-hub-tile,"pulsing tile, hub tile, animated, notification"
43,TabbedMDIForm,TabbedMDIForm,syncfusion-wpf-tabbed-mdi-form,"tabbed mdi, mdi form, multi-document interface, tabbed window"
44,TabSplitter,TabSplitter,syncfusion-wpf-tab-splitter,"tab splitter, tabbed splitter, combined layout, tabs with splitter"
45,TextInputLayout,SfTextInputLayout,syncfusion-wpf-text-input-layout,"text input layout, floating label, hint text, validation, input field wrapper"
46,TileView,TileView,syncfusion-wpf-tile-view,"tile view, tile layout, grid of tiles, itemscontrol, tile container"
47,Accordion,SfAccordion,syncfusion-wpf-accordion,"accordion, expandable, collapsible, sections, nested, single expand"
48,Breadcrumb,SfBreadcrumb,syncfusion-wpf-breadcrumb,"breadcrumb, navigation, hierarchical, path, breadcrumbs, routing, overflow"
49,Menu,SfMenu,syncfusion-wpf-menu,"menu, dropdown menu, context menu, navigation menu, submenu"
50,NavigationDrawer,NavigationDrawer,syncfusion-wpf-navigation-drawer,"navigation drawer, sidebar, navigation panel, collapsible menu, responsive"
51,NavigationPane,NavigationPane,syncfusion-wpf-navigation-pane,"navigation pane, sidebar pane, vertical navigation, navigation panel"
52,RadialMenu,RadialMenu,syncfusion-wpf-radial-menu,"radial menu, circular menu, context menu, pie menu, polar navigation"
53,Ribbon,SfRibbon,syncfusion-wpf-ribbon,"ribbon, ribbon bar, command interface, tabbed toolbar, office ui, microsoft office"
54,TabControl,TabControlExt,syncfusion-wpf-tabcontrol,"tab, tabs, navigation, header, content switching, lazy loading, drag drop, reorder"
55,TabNavigation,TabNavigation,syncfusion-wpf-tab-navigation,"tab navigation, tabbed navigation, tab bar"
56,TaskBar,TaskBar,syncfusion-wpf-taskbar,"taskbar, taskbar items, quick access, notification area"
57,ToolBar,ToolBar,syncfusion-wpf-toolbar,"toolbar, command bar, button bar, tool palette"
58,TreeView,SfTreeView,syncfusion-wpf-treeview,"treeview, tree, hierarchical, folder, nested, expandable, collapse, selection"
59,TreeNavigator,TreeNavigator,syncfusion-wpf-tree-navigator,"tree navigator, hierarchical navigator, tree browser, nested navigation"
60,TreeViewAdv,SfTreeView,syncfusion-wpf-treeview,"treeview advanced, advanced tree, hierarchical control with features"
61,WizardControl,SfWizard,syncfusion-wpf-wizard-control,"wizard, stepper, step wizard, multi-step form, progress, workflow, linear"
62,AutoComplete,SfAutoComplete,syncfusion-wpf-autocomplete,"autocomplete, typeahead, suggestions, filtering, grouping, virtualization"
63,ComboBoxAdv,ComboBoxAdv,syncfusion-wpf-combobox,"combobox, combo box, dropdown, input, search, hybrid, filtering"
64,MultiColumnDropdown,SfMultiColumnDropdown,syncfusion-wpf-multi-column-dropdown,"multicolumn combobox, tabular dropdown, grid dropdown, structured data"
65,ImageEditor,SfImageEditor,syncfusion-wpf-image-editor,"image editor, image manipulation, crop, rotate, filter, annotation"
66,PdfViewer,SfPdfViewer,syncfusion-wpf-markdown-viewer,"pdf viewer, pdf document view, pdf reading, annotation"
67,RichTextBox,SfRichTextBox,syncfusion-wpf-syntax-editor,"rich text editor, wysiwyg, markdown, formatting, bold, italic, underline"
68,Spreadsheet,SfSpreadsheet,syncfusion-wpf-excel-like-grid,"spreadsheet, excel-like, data entry, formulas, cell formatting, grid"
69,SyntaxEditor,SfSyntaxEditor,syncfusion-wpf-syntax-editor,"syntax editor, code editor, text editor, highlighting, formatting, code completion"
70,TextBoxExt,SfTextBoxExt,syncfusion-wpf-text-input-layout,"textbox extended, extended textbox, rich textbox"
71,TimeSpanEdit,SfTimeSpanEditor,syncfusion-wpf-timespan-editor,"timespan editor, duration input, time duration, hours minutes seconds"
72,Calculator,SfCalculator,syncfusion-wpf-calculator,"calculator, math calculator, expression evaluator"
73,CheckListBox,SfCheckedListBox,syncfusion-wpf-checkedlistbox,"checklistbox, checked list, checkbox list, multi-select list"
74,ColorPalette,SfColorPalette,syncfusion-wpf-color-palette,"color palette, color selector, color grid, color choice"
75,ColorPickerPalette,ColorPickerPalette,syncfusion-wpf-color-picker-palette,"color picker palette, color dropdown, color selection dropdown"
76,ColorPicker,SfColorPicker,syncfusion-wpf-colorpicker,"color picker, color selection, color chooser, rgba, hex, hsv"
77,CurrencyTextBox,SfCurrencyTextBox,syncfusion-wpf-currency-textbox,"currency textbox, currency input, money input, formatted numeric"
78,DomainUpDown,SfDomainUpDown,syncfusion-wpf-domain-updown,"domain updown, spinner, up down, list selector, cycling"
79,DoubleTextBox,SfDoubleTextBox,syncfusion-wpf-double-textbox,"double textbox, floating point, decimal input, numeric"
80,IntegerTextBox,SfIntegerTextBox,syncfusion-wpf-integer-textbox,"integer textbox, int input, whole number, numeric input"
81,MaskedTextBox,SfMaskedTextBox,syncfusion-wpf-maskedtextbox,"masked textbox, masked input, input mask, formatted input"
82,NumericUpDown,SfNumericUpDown,syncfusion-wpf-numericupdown,"numeric updown, spinner, number selector, increment decrement"
83,PercentTextBox,SfPercentTextBox,syncfusion-wpf-percent-textbox,"percent textbox, percentage input, percentage value"
84,RadialSlider,SfRadialSlider,syncfusion-wpf-radial-slider,"radial slider, circular slider, dial, rotary input, angular"
85,RangeSlider,SfRangeSlider,syncfusion-wpf-range-slider,"range slider, dual slider, range input, min-max selector"
86,Rating,SfRating,syncfusion-wpf-rating,"rating, star rating, 5-star, vote, feedback, score"
87,SpellChecker,SpellChecker,syncfusion-wpf-spellchecker,"spell checker, spell checking, autocorrect, suggestion"
88,Button,ButtonAdv,syncfusion-wpf-button,"button, cta, action, click, primary, secondary, outline, icon, icon button, notification button, profile button"
89,ButtonAdv,ButtonAdv,syncfusion-wpf-button,"button advanced, advanced button, enhanced button, styled button"
90,DropDownButtonAdv,DropDownButtonAdv,syncfusion-wpf-dropdownbuttonadv,"dropdown button advanced, dropdown button with advanced features"
91,SplitButton,SfSplitButton,syncfusion-wpf-splitbutton,"split button, dual action, save, primary secondary, split action"
92,CalendarEdit,CalendarEdit,syncfusion-wpf-calendar,"calendar edit, date editor with calendar, inline calendar"
93,DatePicker,SfDatePicker,syncfusion-wpf-datepicker,"datepicker, date picker, single date, calendar, selection, popup, localization"
94,DateTimePicker,SfDateTimePicker,syncfusion-wpf-datetimepicker,"datetime picker, date time, combined date time, time selector, calendar time"
95,Scheduler,SfScheduler,syncfusion-wpf-scheduler,"scheduler, schedule, calendar, appointment, event, meeting, recurring, resource scheduling"
96,TimePicker,SfTimePicker,syncfusion-wpf-timepicker,"timepicker, time picker, time selection, 24-hour, 12-hour, time format"
97,Badge,SfBadge,syncfusion-wpf-badge,"badge, badge view, notification badge, count badge, label"
98,BusyIndicator,SfBusyIndicator,syncfusion-wpf-busy-indicator,"busy indicator, loading indicator, spinner, activity indicator"
99,CircularProgressBar,SfCircularProgressBar,syncfusion-wpf-circular-progressbar,"circular progressbar, circular progress, progress circle, donut progress"
100,LinearProgressBar,SfLinearProgressBar,syncfusion-wpf-linear-progressbar,"linear progressbar, linear progress, progress bar, horizontal progress"
101,StepProgressBar,SfStepProgressBar,syncfusion-wpf-step-progressbar,"step progressbar, step progress, stepper progress, stages"
102,Grouping,Grouping,syncfusion-wpf-grouping,"grouping, data grouping, group records, hierarchical grouping"
103,SmartDataGrid,SfSmartDataGrid,syncfusion-wpf-smart-datagrid,"smart datagrid, ai datagrid, intelligent grid, smart table"
104,SmartTextEditor,SfSmartTextEditor,syncfusion-wpf-smart-text-editor,"smart text editor, ai text editor, intelligent editor"
105,AIAssistView,SfAIAssistView,syncfusion-wpf-ai-assistview,"ai assist view, ai assistant, ai help, intelligent assistant"
106,TabbedWindow,TabbedWindow,syncfusion-wpf-tabbedwindow,"tabbed window, tabbed form, multi-tab window"
107,MarkdownViewer,SfMarkdownViewer,syncfusion-wpf-markdown-viewer,"markdown viewer, markdown editor, markdown display"
108,Toast,SfToast,syncfusion-wpf-toast-notification,"toast, toast notification, notification, popup notification, message notification, alert, snackbar"
109,Theming,SfSkinManager,syncfusion-wpf-theming,"theming, theme, design system, color theme, dark mode, light mode, theme switching, customization"
110,Licensing,Licensing,syncfusion-wpf-licensing,"licensing, license, license key, trial, activation, license validation"
111,GettingStarted,GettingStarted,syncfusion-wpf-getting-started,"getting started, setup, installation, quick start, tutorial, introduction"
112,PDFViewer,PdfViewerControl,syncfusion-wpf-pdf-viewer,"pdf viewer, pdf viewing, display pdf, document viewer, pdf display, page navigation, zoom, magnifying, text selection, text search, find text, highlight, annotations, ink annotation, shape annotation, stamp annotation, text annotation, form filling, acroform, pdf layers, redaction, print pdf, export image, extract text, organize pages, rotate pages, handwritten signature, signature, bookmark, thumbnail panel, hyperlink, context menu, toolbar, localization, theme"
113,SpreadsheetEditor,SfSpreadsheet,syncfusion-wpf-spreadsheet-editor,"spreadsheet, spreadsheet editor, excel, excel-like, workbook, worksheet, cell editing, cell formatting, formulas, functions, data validation, conditional formatting, sorting, filtering, charts, sparklines, ribbon, clipboard, cut copy paste, freeze panes, merge cells, comments, hyperlinks, bookmarks, export pdf, export html, export image, export csv, import excel, xlsx, xls, protect worksheet, protect workbook"
114,DocxEditor,SfRichTextBoxAdv,syncfusion-wpf-docx-editor,"docx editor, word editor, document editor, rich text editor, word document, sfrichtextboxadv, sfrichtextribbon, comments, track changes, find and replace, document protection, read-only, document editing, import docx, export docx, word processing, microsoft word, document workflow, headers, footers, tables, images, hyperlinks"
